direction,hour_of_day,tp1_hit,tp2_hit,tp1_within_2h,tp2_within_2h
bear,0,25.0,100.0,25.0,100.0
bear,1,60.0,100.0,100.0,100.0
bear,2,50.0,100.0,50.0,100.0
bear,3,66.66666666666666,100.0,66.66666666666666,100.0
bear,5,0.0,100.0,0.0,100.0
bear,6,33.33333333333333,100.0,33.33333333333333,100.0
bear,7,80.0,100.0,80.0,100.0
bear,8,100.0,100.0,100.0,100.0
bear,9,50.0,100.0,50.0,100.0
bear,11,33.33333333333333,100.0,33.33333333333333,100.0
bear,12,100.0,100.0,100.0,100.0
bear,13,100.0,100.0,100.0,100.0
bear,14,100.0,100.0,100.0,100.0
bear,15,60.0,100.0,60.0,100.0
bear,17,100.0,100.0,100.0,100.0
bear,18,100.0,100.0,100.0,100.0
bear,19,75.0,100.0,75.0,100.0
bear,20,25.0,100.0,25.0,100.0
bear,21,33.33333333333333,100.0,33.33333333333333,100.0
bear,22,100.0,100.0,100.0,100.0
bear,23,33.33333333333333,100.0,66.66666666666666,100.0
bull,0,83.33333333333334,100.0,83.33333333333334,100.0
bull,1,100.0,100.0,100.0,100.0
bull,2,50.0,100.0,50.0,100.0
bull,3,0.0,100.0,50.0,100.0
bull,4,100.0,100.0,100.0,100.0
bull,5,80.0,100.0,80.0,100.0
bull,6,75.0,100.0,75.0,100.0
bull,7,100.0,100.0,100.0,100.0
bull,8,100.0,100.0,100.0,100.0
bull,9,71.42857142857143,100.0,71.42857142857143,100.0
bull,10,75.0,100.0,75.0,100.0
bull,11,57.14285714285714,100.0,71.42857142857143,100.0
bull,12,33.33333333333333,100.0,33.33333333333333,100.0
bull,13,0.0,100.0,0.0,100.0
bull,14,100.0,100.0,100.0,100.0
bull,15,100.0,100.0,100.0,100.0
bull,17,100.0,100.0,100.0,100.0
bull,18,50.0,100.0,50.0,100.0
bull,19,66.66666666666666,100.0,66.66666666666666,100.0
bull,20,66.66666666666666,100.0,66.66666666666666,100.0
bull,21,50.0,100.0,50.0,100.0
bull,22,0.0,100.0,0.0,100.0
bull,23,100.0,100.0,100.0,100.0
